## htsjdk.samtools.metrics.StringHeader
# CollectRnaSeqMetrics REF_FLAT=/broad/macosko/metadata/individual_reference/GRCm38/GRCm38.81/GRCm38.81.refFlat RIBOSOMAL_INTERVALS=/broad/macosko/metadata/individual_reference/GRCm38/GRCm38.81/GRCm38.81.rRNA.intervals STRAND_SPECIFICITY=NONE INPUT=/broad/macosko/data/libraries/2020-02-05_Puck_191204_01/Puck_191204_01.bam OUTPUT=/broad/macosko/data/libraries/2020-02-05_Puck_191204_01/Puck_191204_01.fracIntronicExonic.txt TMP_DIR=[/broad/macosko/data/workflows/flowcell/ForPaper191204_01/tmp] VALIDATION_STRINGENCY=SILENT    MINIMUM_LENGTH=500 RRNA_FRAGMENT_PERCENTAGE=0.8 METRIC_ACCUMULATION_LEVEL=[ALL_READS] ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Feb 06 15:37:21 UTC 2020

## METRICS CLASS	picard.analysis.RnaSeqMetrics
PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	NUM_R1_TRANSCRIPT_STRAND_READS	NUM_R2_TRANSCRIPT_STRAND_READS	NUM_UNEXPLAINED_READS	PCT_R1_TRANSCRIPT_STRAND_READS	PCT_R2_TRANSCRIPT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS	SAMPLE	LIBRARY	READ_GROUP
7880336804	6337472834	452100364	1918906222	1838299496	1024637147	1107941050	0	0	0	81191990	2304682	453131	0.972398	0.027602	0.071338	0.302787	0.290068	0.161679	0.174824	0.592856	0.476782	0	1.275894	0.025632	1.90596	0.01669			

## HISTOGRAM	java.lang.Integer
normalized_position	All_Reads.normalized_coverage
0	0.095434
1	0.104523
2	0.118616
3	0.133781
4	0.149407
5	0.166795
6	0.184831
7	0.200297
8	0.209812
9	0.224394
10	0.238004
11	0.251993
12	0.269272
13	0.284769
14	0.292096
15	0.315767
16	0.33392
17	0.353905
18	0.378682
19	0.408739
20	0.415897
21	0.43423
22	0.443842
23	0.427644
24	0.444211
25	0.449962
26	0.451585
27	0.457805
28	0.469058
29	0.497936
30	0.515115
31	0.530753
32	0.535623
33	0.549961
34	0.568494
35	0.584925
36	0.586324
37	0.598969
38	0.603319
39	0.617003
40	0.635084
41	0.630858
42	0.629683
43	0.643123
44	0.66505
45	0.68466
46	0.708566
47	0.720386
48	0.734688
49	0.750615
50	0.78489
51	0.830356
52	0.835192
53	0.84138
54	0.860719
55	0.887959
56	0.909857
57	0.940803
58	0.975521
59	1.004858
60	1.006076
61	1.02375
62	1.055556
63	1.084837
64	1.075842
65	1.082319
66	1.098911
67	1.104209
68	1.145214
69	1.183012
70	1.216183
71	1.262465
72	1.280736
73	1.307269
74	1.315395
75	1.375384
76	1.426268
77	1.489448
78	1.546314
79	1.60859
80	1.682581
81	1.737775
82	1.825918
83	1.917671
84	1.994229
85	2.057466
86	2.128342
87	2.133572
88	2.199703
89	2.316699
90	2.471143
91	2.537619
92	2.499941
93	2.498007
94	2.519712
95	2.560418
96	2.633538
97	2.462888
98	2.220694
99	1.847347
100	1.135141

