## htsjdk.samtools.metrics.StringHeader
# CollectRnaSeqMetrics REF_FLAT=/broad/macosko/metadata/individual_reference/GRCm38/GRCm38.81/GRCm38.81.refFlat RIBOSOMAL_INTERVALS=/broad/macosko/metadata/individual_reference/GRCm38/GRCm38.81/GRCm38.81.rRNA.intervals STRAND_SPECIFICITY=NONE INPUT=/broad/macosko/data/libraries/2020-02-05_Puck_191204_01/GRCm38.81.exonic+intronic/barcode_matching/Puck_191204_01_matched.bam OUTPUT=/broad/macosko/data/libraries/2020-02-05_Puck_191204_01/GRCm38.81.exonic+intronic/alignment/Puck_191204_01.fracIntronicExonic.txt TMP_DIR=[/broad/macosko/data/workflows/flowcell/ForPaper191204_01/tmp] VALIDATION_STRINGENCY=SILENT    MINIMUM_LENGTH=500 RRNA_FRAGMENT_PERCENTAGE=0.8 METRIC_ACCUMULATION_LEVEL=[ALL_READS] ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Feb 06 18:18:26 UTC 2020

## METRICS CLASS	picard.analysis.RnaSeqMetrics
PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	NUM_R1_TRANSCRIPT_STRAND_READS	NUM_R2_TRANSCRIPT_STRAND_READS	NUM_UNEXPLAINED_READS	PCT_R1_TRANSCRIPT_STRAND_READS	PCT_R2_TRANSCRIPT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS	SAMPLE	LIBRARY	READ_GROUP
2590430674	2272879932	158105302	688403076	795148699	288061619	344853500	0	0	0	32362705	597655	152902	0.981867	0.018133	0.069562	0.302877	0.349842	0.126739	0.151725	0.652719	0.572705	0	1.369571	0.014742	2.044201	0.008371			

## HISTOGRAM	java.lang.Integer
normalized_position	All_Reads.normalized_coverage
0	0.07446
1	0.078763
2	0.08381
3	0.097252
4	0.111102
5	0.125601
6	0.139716
7	0.151927
8	0.164151
9	0.175414
10	0.186148
11	0.199696
12	0.214892
13	0.221718
14	0.225424
15	0.248441
16	0.266888
17	0.285701
18	0.301983
19	0.329111
20	0.334601
21	0.355833
22	0.362579
23	0.33781
24	0.35212
25	0.359638
26	0.359967
27	0.366031
28	0.382639
29	0.414439
30	0.434512
31	0.450011
32	0.450796
33	0.46694
34	0.48738
35	0.505551
36	0.512405
37	0.521263
38	0.539263
39	0.555249
40	0.574135
41	0.575881
42	0.568094
43	0.58224
44	0.605411
45	0.628072
46	0.658461
47	0.680116
48	0.693997
49	0.707478
50	0.744379
51	0.78978
52	0.800112
53	0.818061
54	0.836807
55	0.871981
56	0.890534
57	0.91646
58	0.946441
59	0.978128
60	0.975541
61	0.996391
62	1.038307
63	1.076514
64	1.075858
65	1.078587
66	1.099849
67	1.119968
68	1.145885
69	1.182212
70	1.207699
71	1.260567
72	1.288589
73	1.328033
74	1.346642
75	1.413746
76	1.472125
77	1.541126
78	1.609569
79	1.681649
80	1.747779
81	1.822846
82	1.922143
83	2.029728
84	2.113068
85	2.195415
86	2.263577
87	2.268003
88	2.337769
89	2.469032
90	2.635309
91	2.716657
92	2.707289
93	2.70809
94	2.719429
95	2.777777
96	2.859178
97	2.691238
98	2.431433
99	1.993896
100	1.224965

